GeneName	HumanOrtholog	HumanTitle
tat-1	ATP8A1 	 ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
tat-2	ATP8B2 	 ATPase, aminophospholipid transporter, class I, type 8B, member 2
sca-1	ATP2A1 	 ATPase, Ca++ transporting, cardiac muscle, fast twitch 1
mca-3	ATP2B3 	 ATPase, Ca++ transporting, plasma membrane 3
mca-2	ATP2B3 	 ATPase, Ca++ transporting, plasma membrane 3
pmr-1	ATP2C1 	 ATPase, Ca++ transporting, type 2C, member 1
tat-5	ATP9B 	 ATPase, class II, type 9B
tat-6	ATP9B 	 ATPase, class II, type 9B
cua-1	ATP7A 	 ATPase, Cu++ transporting, alpha polypeptide
vha-10	ATP6V1G1 	 ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1
vha-9	ATP6V1F 	 ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F
vha-1	ATP6V0C 	 ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
vha-2	ATP6V0C 	 ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
vha-3	ATP6V0C 	 ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c
vha-4	ATP6V0B 	 ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
vha-8	ATP6V1E1 	 ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1
vha-14	ATP6V1D 	 ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
vha-16	ATP6V0D1 	 ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1
vha-15	ATP6V1H 	 ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H
vha-12	ATP6V1B1 	 ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1
spe-5	ATP6V1B2 	 ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
vha-13	ATP6V1A 	 ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
unc-32	ATP6V0A1 	 ATPase, H+ transporting, lysosomal V0 subunit a1
eat-6	ATP1A3 	 ATPase, Na+/K+ transporting, alpha 3 polypeptide
tag-53	ATRN 	 attractin
ech-5	AUH 	 AU RNA binding protein/enoyl-CoA hydratase
air-2	AURKA 	 aurora kinase A
hrdl-1	AMFR 	 autocrine motility factor receptor, E3 ubiquitin protein ligase
atg-2	ATG2A 	 autophagy related 2A
atg-3	ATG3 	 autophagy related 3
atg-4.1	ATG4A 	 autophagy related 4A, cysteine peptidase
atg-4.2	ATG4D 	 autophagy related 4D, cysteine peptidase
atg-5	ATG5 	 autophagy related 5
atg-7	ATG7 	 autophagy related 7
mksr-1	B9D1 	 B9 protein domain 1
mksr-2	B9D2 	 B9 protein domain 2
bbs-1	BBS1 	 Bardet-Biedl syndrome 1
bbs-2	BBS2 	 Bardet-Biedl syndrome 2
bbs-5	BBS5 	 Bardet-Biedl syndrome 5
osm-12	BBS7 	 Bardet-Biedl syndrome 7
bbs-9	BBS9 	 Bardet-Biedl syndrome 9
baf-1	BANF1 	 barrier to autointegration factor 1
icd-1	BTF3L4 	 basic transcription factor 3-like 4
bcs-1	BCS1L 	 BC1 (ubiquinol-cytochrome c reductase) synthesis-like
unc-23	BAG2 	 BCL2-associated athanogene 2
bec-1	BECN1 	 beclin 1, autophagy related
best-23	BEST2 	 bestrophin 2
sqv-8	B3GAT3 	 beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)
bcmo-1	BCMO1 	 beta-carotene 15,15'-monooxygenase 1
bcmo-2	BCMO1 	 beta-carotene 15,15'-monooxygenase 1
bicd-1	BICD2 	 bicaudal D homolog 2 (Drosophila)
bcc-1	BICC1 	 BicC family RNA binding protein 1
dbl-1	BMP10 	 bone morphogenetic protein 10
sma-6	BMPR1B 	 bone morphogenetic protein receptor, type IB
sad-1	BRSK2 	 BR serine/threonine kinase 2
bcat-1	BCAT1 	 branched chain amino-acid transaminase 1, cytosolic
tag-173	BCKDHB 	 branched chain keto acid dehydrogenase E1, beta polypeptide
brf-1	BRF1 	 BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit
tag-30	BTBD2 	 BTB (POZ) domain containing 2
hpo-9	BTBD9 	 BTB (POZ) domain containing 9
gbh-1	BBOX1 	 butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
byn-1	BYSL 	 bystin-like
csk-1	CSK 	 c-src tyrosine kinase
ctbp-1	CTBP1 	 C-terminal binding protein 1
gop-1	CLEC16A 	 C-type lectin domain family 16, member A
unc-31	CADPS 	 Ca++-dependent secretion activator
cacn-1	CACTIN 	 cactin, spliceosome C complex subunit
fmi-1	CELSR1 	 cadherin, EGF LAG seven-pass G-type receptor 1
pbo-1	CHP2 	 calcineurin-like EF-hand protein 2
apy-1	CANT1 	 calcium activated nucleotidase 1
calm-1	CIB2 	 calcium and integrin binding family member 2
mop-25.2	CAB39 	 calcium binding protein 39
mop-25.1	CAB39 	 calcium binding protein 39
ccb-1	CACNB4 	 calcium channel, voltage-dependent, beta 4 subunit
egl-19	CACNA1D 	 calcium channel, voltage-dependent, L type, alpha 1D subunit
unc-2	CACNA1B 	 calcium channel, voltage-dependent, N type, alpha 1B subunit
unc-43	CAMK2D 	 calcium/calmodulin-dependent protein kinase II delta
ckk-1	CAMKK2 	 calcium/calmodulin-dependent protein kinase kinase 2, beta
lin-2	CASK 	 calcium/calmodulin-dependent serine protein kinase (MAGUK family)
cnx-1	CANX 	 calnexin
tra-3	CAPN5 	 calpain 5
clp-2	CAPN7 	 calpain 7
clp-1	CAPN8 	 calpain 8
clp-3	CAPN8 	 calpain 8
clp-4	CAPN8 	 calpain 8
clp-6	CAPN8 	 calpain 8
clp-7	CAPN8 	 calpain 8
crt-1	CALR 	 calreticulin
csq-1	CASQ1 	 calsequestrin 1 (fast-twitch, skeletal muscle)
casy-1	CLSTN1 	 calsyntenin 1
calu-1	CALU 	 calumenin
cas-1	CAP1 	 CAP, adenylate cyclase-associated protein 1 (yeast)
cas-2	CAP1 	 CAP, adenylate cyclase-associated protein 1 (yeast)
cap-1	CAPZA1 	 capping protein (actin filament) muscle Z-line, alpha 1
cap-2	CAPZB 	 capping protein (actin filament) muscle Z-line, beta
pyr-1	CAD 	 carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
cah-3	CA7 	 carbonic anhydrase VII
cah-5	CA7 	 carbonic anhydrase VII
cah-1	CA10 	 carbonic anhydrase X
cah-2	CA10 	 carbonic anhydrase X
suro-1	CPA2 	 carboxypeptidase A2 (pancreatic)
cpd-2	CPD 	 carboxypeptidase D
egl-21	CPE 	 carboxypeptidase E
crls-1	CRLS1 	 cardiolipin synthase 1
cpt-2	CPT2 	 carnitine palmitoyltransferase 2
kin-19	CSNK1A1L 	 casein kinase 1, alpha 1-like
kin-20	CSNK1D 	 casein kinase 1, delta
csnk-1	CSNK1G2 	 casein kinase 1, gamma 2
kin-3	CSNK2A1 	 casein kinase 2, alpha 1 polypeptide
kin-10	CSNK2B 	 casein kinase 2, beta polypeptide
clpp-1	CLPP 	 caseinolytic mitochondrial matrix peptidase proteolytic subunit
ctl-1	CAT 	 catalase
ctl-2	CAT 	 catalase
ctl-3	CAT 	 catalase
comt-3	COMTD1 	 catechol-O-methyltransferase domain containing 1
comt-4	COMTD1 	 catechol-O-methyltransferase domain containing 1
comt-5	COMTD1 	 catechol-O-methyltransferase domain containing 1
hmp-1	CTNNA2 	 catenin (cadherin-associated protein), alpha 2
ctn-1	CTNNAL1 	 catenin (cadherin-associated protein), alpha-like 1
hmp-2	CTNNB1 	 catenin (cadherin-associated protein), beta 1, 88kDa
asp-4	CTSD 	 cathepsin D
tag-196	CTSF 	 cathepsin F
cpl-1	CTSV 	 cathepsin V
cpz-1	CTSZ 	 cathepsin Z
let-711	CNOT1 	 CCR4-NOT transcription complex, subunit 1
ntl-2	CNOT2 	 CCR4-NOT transcription complex, subunit 2
ccr-4	CNOT6L 	 CCR4-NOT transcription complex, subunit 6-like
ccf-1	CNOT7 	 CCR4-NOT transcription complex, subunit 7
ccz-1	CCZ1 	 CCZ1 vacuolar protein trafficking and biogenesis associated homolog (S. cerevisiae)
tep-1	CD109 	 CD109 molecule
teg-1	CD2BP2 	 CD2 (cytoplasmic tail) binding protein 2
scav-3	CD36 	 CD36 molecule (thrombospondin receptor)
scav-2	CD36 	 CD36 molecule (thrombospondin receptor)
scav-1	CD36 	 CD36 molecule (thrombospondin receptor)
tsp-7	CD63 	 CD63 molecule
tsp-8	CD82 	 CD82 molecule
cks-1	CKS1B 	 CDC28 protein kinase regulatory subunit 1B
mrck-1	CDC42BPA 	 CDC42 binding protein kinase alpha (DMPK-like)
pisy-1	CDIPT 	 CDP-diacylglycerol--inositol 3-phosphatidyltransferase
cdc-14	CDC14A 	 cell division cycle 14A
cdc-37	CDC37 	 cell division cycle 37
prp-17	CDC40 	 cell division cycle 40
hyl-1	CERS5 	 ceramide synthase 5
hyl-2	CERS5 	 ceramide synthase 5
cln-3.1	CLN3 	 ceroid-lipofuscinosis, neuronal 3
cln-3.2	CLN3 	 ceroid-lipofuscinosis, neuronal 3
cln-3.3	CLN3 	 ceroid-lipofuscinosis, neuronal 3
cct-2	CCT2 	 chaperonin containing TCP1, subunit 2 (beta)
cct-3	CCT3 	 chaperonin containing TCP1, subunit 3 (gamma)
cct-4	CCT4 	 chaperonin containing TCP1, subunit 4 (delta)
cct-5	CCT5 	 chaperonin containing TCP1, subunit 5 (epsilon)
cct-6	CCT6A 	 chaperonin containing TCP1, subunit 6A (zeta 1)
cct-7	CCT7 	 chaperonin containing TCP1, subunit 7 (eta)
cct-8	CCT8 	 chaperonin containing TCP1, subunit 8 (theta)
vps-2	CHMP2A 	 charged multivesicular body protein 2A
vps-20	CHMP6 	 charged multivesicular body protein 6
chk-1	CHEK1 	 checkpoint kinase 1
chk-2	CHEK2 	 checkpoint kinase 2
chin-1	CHN2 	 chimerin 2
cht-1	CHIT1 	 chitinase 1 (chitotriosidase)
clh-3	CLCN2 	 chloride channel, voltage-sensitive 2
clh-4	CLCN2 	 chloride channel, voltage-sensitive 2
clh-5	CLCN3 	 chloride channel, voltage-sensitive 3
clh-6	CLCN7 	 chloride channel, voltage-sensitive 7
ckr-1	CCKAR 	 cholecystokinin A receptor
ckr-2	CCKAR 	 cholecystokinin A receptor
cka-2	CHKA 	 choline kinase alpha
cka-1	CHKB 	 choline kinase beta
cha-1	CHAT 	 choline O-acetyltransferase
cept-1	CEPT1 	 choline/ethanolamine phosphotransferase 1
gar-3	CHRM1 	 cholinergic receptor, muscarinic 1
acr-21	CHRNA10 	 cholinergic receptor, nicotinic, alpha 10 (neuronal)
unc-38	CHRNA6 	 cholinergic receptor, nicotinic, alpha 6 (neuronal)
acr-7	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
acr-9	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
acr-10	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
acr-11	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
acr-14	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
acr-16	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
acr-25	CHRNA7 	 cholinergic receptor, nicotinic, alpha 7 (neuronal)
mig-22	CHPF 	 chondroitin polymerizing factor
sqv-5	CHSY3 	 chondroitin sulfate synthase 3
rep-1	CHML 	 choroideremia-like (Rab escort protein 2)
chd-1	CHD2 	 chromodomain helicase DNA binding protein 2
chd-3	CHD4 	 chromodomain helicase DNA binding protein 4
let-418	CHD4 	 chromodomain helicase DNA binding protein 4
cccp-1	C10orf118 	 chromosome 10 open reading frame 118
cts-1	CS 	 citrate synthase
chc-1	CLTC 	 clathrin, heavy chain (Hc)
clpf-1	CLP1 	 cleavage and polyadenylation factor I subunit 1
cpsf-1	CPSF1 	 cleavage and polyadenylation specific factor 1, 160kDa
cpsf-2	CPSF2 	 cleavage and polyadenylation specific factor 2, 100kDa
cpsf-3	CPSF3 	 cleavage and polyadenylation specific factor 3, 73kDa
cpsf-4	CPSF4 	 cleavage and polyadenylation specific factor 4, 30kDa
cpf-1	CSTF1 	 cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa
suf-1	CSTF3 	 cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa
clu-1	CLUH 	 clustered mitochondria (cluA/CLU1) homolog
dyf-3	CLUAP1 	 clusterin associated protein 1
coq-2	COQ2 	 coenzyme Q2 4-hydroxybenzoate polyprenyltransferase
coq-3	COQ3 	 coenzyme Q3 methyltransferase
coq-4	COQ4 	 coenzyme Q4
coq-5	COQ5 	 coenzyme Q5 homolog, methyltransferase (S. cerevisiae)
coq-6	COQ6 	 coenzyme Q6 monooxygenase
clk-1	COQ7 	 coenzyme Q7 homolog, ubiquinone (yeast)
ccdc-47	CCDC47 	 coiled-coil domain containing 47
emb-9	COL4A2 	 collagen, type IV, alpha 2
let-2	COL4A2 	 collagen, type IV, alpha 2
cri-3	C1QBP 	 complement component 1, q subcomponent binding protein
cogc-2	COG2 	 component of oligomeric golgi complex 2
cogc-3	COG3 	 component of oligomeric golgi complex 3
cogc-4	COG4 	 component of oligomeric golgi complex 4
cogc-8	COG8 	 component of oligomeric golgi complex 8
csn-5	COPS5 	 COP9 signalosome subunit 5
csn-6	COPS6 	 COP9 signalosome subunit 6
gem-4	CPNE5 	 copine V
nra-1	CPNE5 	 copine V
pod-1	CORO7 	 coronin 7
cor-1	CORO1C 	 coronin, actin binding protein, 1C
scpl-1	CTDSP1 	 CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1
etr-1	CELF2 	 CUGBP, Elav-like family member 2
unc-75	CELF5 	 CUGBP, Elav-like family member 5
cul-2	CUL2 	 cullin 2
cul-3	CUL3 	 cullin 3
cul-5	CUL5 	 cullin 5
cand-1	CAND1 	 cullin-associated and neddylation-dissociated 1
cutc-1	CUTC 	 cutC copper transporter
cyn-16	CWC27 	 CWC27 spliceosome-associated protein homolog (S. cerevisiae)
tax-4	CNGA3 	 cyclic nucleotide gated channel alpha 3
tax-2	CNGB1 	 cyclic nucleotide gated channel beta 1
cic-1	CCNC 	 cyclin C
cyh-1	CCNH 	 cyclin H
cyy-1	CCNY 	 cyclin Y
cdk-1	CDK1 	 cyclin-dependent kinase 1
pct-1	CDK17 	 cyclin-dependent kinase 17
cdk-5	CDK5 	 cyclin-dependent kinase 5
cdk-4	CDK6 	 cyclin-dependent kinase 6
cdk-7	CDK7 	 cyclin-dependent kinase 7
cdk-8	CDK8 	 cyclin-dependent kinase 8
cdk-9	CDK9 	 cyclin-dependent kinase 9
cyp-13A7	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13B1	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A11	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A12	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13B2	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A4	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A5	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A6	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A8	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A3	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A2	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
cyp-13A1	CYP3A7-CYP3AP1 	 CYP3A7-CYP3AP1 readthrough
